epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.4339,0.56796,0.84283,0.98043,0.89767,0.74238,0.86812,0.74682,0.49414,0.99564,1.02355,0.0005941,0.0005941,0.0005941
43,48.3287,0.60029,0.87637,0.99894,0.78468,0.79269,0.8486,0.74438,0.50221,1.08701,1.02622,0.0005842,0.0005842,0.0005842
44,49.1317,0.58845,0.86447,1.00285,0.82871,0.74033,0.82562,0.69314,0.55716,1.162,1.05504,0.0005743,0.0005743,0.0005743
45,49.9329,0.50233,0.8109,0.98668,0.73498,0.81733,0.8383,0.74325,0.54192,1.04487,1.07514,0.0005644,0.0005644,0.0005644
46,50.7385,0.58404,0.81026,0.99465,0.81856,0.72845,0.82644,0.74155,0.51353,0.93343,1.03919,0.0005545,0.0005545,0.0005545
47,51.5448,0.57132,0.78909,0.99564,0.78601,0.74995,0.81099,0.73392,0.55856,0.97272,1.12786,0.0005446,0.0005446,0.0005446
48,52.4479,0.63815,0.8316,1.0269,0.829,0.72836,0.83006,0.74407,0.54394,0.95207,1.1085,0.0005347,0.0005347,0.0005347
49,53.2682,0.65873,0.85107,1.01542,0.88206,0.84203,0.85528,0.77177,0.46762,0.78158,1.00345,0.0005248,0.0005248,0.0005248
50,54.1048,0.5701,0.7795,0.97749,0.89432,0.80463,0.8606,0.77669,0.42892,0.73601,0.97223,0.0005149,0.0005149,0.0005149
51,55.0001,0.59369,0.7748,0.97702,0.86565,0.85389,0.87083,0.78223,0.46612,0.67728,0.99761,0.000505,0.000505,0.000505
52,55.8221,0.63153,0.80391,0.98612,0.83552,0.82528,0.86532,0.77939,0.4603,0.67702,0.9738,0.0004951,0.0004951,0.0004951
53,56.6499,0.67002,0.79566,1.01748,0.76485,0.83567,0.85142,0.77383,0.42107,0.73714,0.95434,0.0004852,0.0004852,0.0004852
54,57.4558,0.62031,0.7971,1.00006,0.76424,0.83236,0.86392,0.78969,0.4057,0.71046,0.93539,0.0004753,0.0004753,0.0004753
55,58.3498,0.58547,0.77603,0.98084,0.87704,0.7515,0.88062,0.80986,0.41483,0.68799,0.94171,0.0004654,0.0004654,0.0004654
56,59.1393,0.59006,0.75942,0.98774,0.84221,0.79395,0.87314,0.79804,0.45896,0.75844,0.97724,0.0004555,0.0004555,0.0004555
57,59.9185,0.55423,0.7433,0.9809,0.84171,0.85268,0.87911,0.79856,0.46677,0.75892,0.99794,0.0004456,0.0004456,0.0004456
